"red","nodos_usados_original","aristas_usadas_original","comunidades_original","comunidades_finales","misma_cantidad_comunidades","membership_exactamente_igual","misma_particion","codelength_original","codelength","diferencia_codelength","modularity_original","modularity","diferencia_modularity","num_levels","num_top_modules","max_tree_depth","final_module_ok","hierarchical_codelength_presente"
"enron",182,2097,12,12,TRUE,TRUE,TRUE,5.94766880272294,5.94766880272294,1.77635683940025e-15,0.629031196632374,0.629031196632374,2.22044604925031e-16,3,1,2,TRUE,FALSE
"UKfaculty",81,577,8,8,TRUE,TRUE,TRUE,5.41463093459978,5.41463093459978,3.5527136788005e-15,0.55698244075642,0.55698244075642,2.22044604925031e-16,3,1,2,TRUE,FALSE
"USairports",745,4618,52,52,TRUE,TRUE,TRUE,7.07354442740251,7.07354442740251,1.77635683940025e-15,0.268284845247899,0.268284845247899,2.77555756156289e-16,4,1,3,TRUE,FALSE
"yeast",2375,11693,203,203,TRUE,FALSE,FALSE,7.73828358467006,7.7376215418361,0.000662042833956988,0.67390320201061,0.67519099423257,0.0012877922219604,4,1,3,TRUE,FALSE
"Zachary",34,78,3,3,TRUE,TRUE,TRUE,4.60605861235007,4.60605861235007,3.5527136788005e-15,0.402038132807364,0.402038132807364,4.44089209850063e-16,3,1,2,TRUE,FALSE
