"configuracion","mu1","mu2","misma_micro","diferencia_nmi_macro","diferencia_ari_macro","diferencia_nmi_micro","diferencia_ari_micro"
"mu1_0.20_mu2_0.40",0.2,0.4,0.4,0,0,0,0
"mu1_0.20_mu2_0.30",0.2,0.3,0.5,0,0,-0.021202966573545,-0.05856293099167
"mu1_0.10_mu2_0.40",0.1,0.4,0.5,0.00750631063739267,0.010103232493608,-0.071725769858259,-0.0780954985070757
"mu1_0.05_mu2_0.40",0.05,0.4,0.55,-0.0528084922293997,-0.0825506383344343,-0.128019726670835,-0.272711871322368
"mu1_0.20_mu2_0.20",0.2,0.2,0.6,0,0,0,0
"mu1_0.10_mu2_0.30",0.1,0.3,0.6,0.0276714517455223,0.0175571291280253,-0.0748361083257477,-0.276228482001108
"mu1_0.05_mu2_0.30",0.05,0.3,0.65,-0.0364967850491917,-0.141788305878511,-0.0659361055970277,-0.312992470502751
"mu1_0.10_mu2_0.20",0.1,0.2,0.7,0.0243172760101717,0.045481801247226,-0.00314532553666132,-0.0196327666889063
"mu1_0.05_mu2_0.20",0.05,0.2,0.75,-0.0302405933012847,-0.066670101373825,-0.00746954773733732,-0.0450862944544027
